arg-id,argument
Acsv-17_0,我が国は温室効果ガス削減目標に対してオントラックで排出削減を進めているとされているが、実際にはそのようには見えない。
Acsv-18_0,我が国では、2013年度以降排出削減に一定の進捗があるものの、2030年度温室効果ガス(GHG)削減目標や2050年カーボンニュートラル達成に向けては、さらなる対策強化が必要である。
Acsv-18_1,2030年目標や2050年カーボンニュートラル実現に向けては脱炭素化の加速が必要であり、そのための政策強化が欠かせない。
Acsv-19_0,現在の計画案は、コストやエネルギー入手、経済への影響について同じ表現が繰り返されている。
Acsv-19_1,気候変動への取り組みとエネルギー政策が一体であること、気候変動への取り組みとしてのエネルギー政策を決めるという意思表明が弱い。
Acsv-20_0,今回の計画案では気候危機を止めるには不十分である。
Acsv-20_1,地球の未来を守れる目標や政策を求めるべきである。
Acsv-21_0,温暖化対策を急ぐべきである
Acsv-21_1,安心して暮らせる未来を守る必要がある
Acsv-22_0,カーボンニュートラルが人類にとって問題かどうか議論が分かれることを第一優先順位で考えることは間違っている。
Acsv-23_0,脱炭素政策は慎重に行う必要がある。
Acsv-23_1,諸外国が脱炭素政策を辞める可能性があるため、日本が出遅れないようにするべき。
Acsv-24_0,カーボンニュートラル政策から離脱すべきである。
Acsv-24_1,炭酸ガスが温暖化の主原因とは証明されていない。
Acsv-24_2,日本はトランプ政権の発足を機にパリ協定から離脱すべきである。
Acsv-25_0,再生可能エネルギーを増やすことは自然や景観を壊し、国民に再エネ賦課金の負担を強いるため、もうたくさんである。
Acsv-25_1,地球は温暖化していないという主張があり、他の国々が方向転換している中で、日本は方向転換ができていない。
Acsv-25_2,進めても良いことがないなら、再生可能エネルギーの推進を止めたほうが良いと思う。
Acsv-25_3,多くの国民は再生可能エネルギーの推進に対して否定的に考えていると思う。
Acsv-26_0,2050年カーボンニュートラルを目指す科学的根拠は不明である。
Acsv-26_1,今後10年で150兆円を脱炭素に投資する政府案は日本国経済の自殺行為である。
Acsv-27_0,地球温暖化の原因はＣＯ２だけでなく、他の要因が複合的に絡み合っていると考えられる。
Acsv-27_1,AI推進による経済成長のための脱炭素電源の拡大や、気候危機を錦の御旗とするＥＶやフードテックの推進について見直す必要がある。
Acsv-27_2,地球温暖化の原因を改めて問い直す必要がある。
Acsv-28_0,CO2が地球温暖化の原因という前提は不確定である。
Acsv-28_1,その前提に基づき数十兆、数百兆規模の予算を投じることは日本の財政及び国益を大きく害する。
Acsv-29_0,二酸化炭素だけが地球温暖化・気候変動に影響を与えているという明確な科学的根拠は示されていない。
Acsv-29_1,異常なまでに脱炭素を進めることは日本を破壊するだけである。
Acsv-30_0,IPCCの地球温暖化人為起源温室効果ガス主因説はひとつの仮説であり、定説ではない。
Acsv-30_1,自然変動の影響を排除して人為起源温室効果ガスが主因であるとするのは危険である。
Acsv-30_2,不確実な理論を基に政策を決定する姿勢は問題がある。
Acsv-31_0,エネルギーの脱炭素化による国民負担の増加や発電コストの抑制に関する言及が多いが、国民の暮らしや命が気候変動から守られるという観点が抜け落ちているのは問題である。
Acsv-31_1,特に、p80の14~20行目の記載について再考を求める。
Acsv-32_0,温暖化による自然災害を避けることは極めて大きな得である。
Acsv-32_1,エネルギー転換の損得勘定は「得」を明確にすれば、国民に対する説得力が増すのではないか。
Acsv-33_0,脱炭素化、ネットゼロにはコストだけでなく大きなベネフィットがある。
Acsv-33_1,環境保全を進めることのベネフィットについて正しく説明すべきである。
Acsv-34_0,脱炭素社会の構築が国民の生活を豊かにするべきである。
Acsv-34_1,脱炭素社会の構築が地域の活性化につながるべきである。
Acsv-35_0,脱炭素だけでなく、畜産業から出るメタンガス・一酸化二窒素も半減させる計画を立てるべき
Acsv-35_1,メタンガス・一酸化二窒素はCO2に比べて温室効果が高いため、即効性がある
Acsv-36_0,代替フロンのような温室効果をもつ気体が現状規制のないまま放置されており、温暖化に影響を与えている。
Acsv-36_1,自然冷媒を用いた冷蔵庫や冷房のシステムの開発を急ぎ、温暖化の低減を図るべき。
Acsv-36_2,この技術開発により、日本の家電が息を吹き返すきっかけになる可能性がある。
Acsv-36_3,技術開発が遅れれば、産業的に大きな痛手になる。
Acsv-37_0,再生可能エネルギーの主力電源化にあたり、各電源の真のコストを明示すべきである。
Acsv-37_1,再生可能エネルギーの主力電源化にあたり、ライフサイクルGHG排出量を明示すべきである。
Acsv-38_0,脱炭素電源の達成度は、設備建設や資源の調達・保安・再資源化・廃棄を含むサプライチェーンの概念も考慮すべきである。
Acsv-38_1,原子力発電における脱炭素の評価には、福島第一原発事故による環境汚染やエネルギー資源の使用、ウラン鉱石の採掘や運搬に伴う炭素排出量、廃炉や放射性廃棄物の処分にかかる炭素量も含める必要がある。
Acsv-39_0,電気自動車のライフサイクルを通じたCO2排出量が本当に少ないのか疑問に感じる
Acsv-39_1,ハイブリッド車など多様な選択肢を追求していることは評価したい
Acsv-40_0,屋根設置太陽光発電の推進は系統負荷に影響を与える可能性があるため、注意が必要である。
Acsv-40_1,太陽光発電設備を設置する際には、蓄電池も必要である。
Acsv-40_2,蓄電池を含めたコストやライフサイクルの環境負荷が本当に小さいか疑問である。
Acsv-41_0,東京都の総量削減義務と排出量取引制度に倣って、事業所別の情報公開を行うべきである。
Acsv-42_0,エネルギー基本計画の成功には、実現的で達成可能な目標を設定すべき
Acsv-42_1,計画の進捗状況を定期的にモニタリングし、フォローアップを徹底すべき
Acsv-42_2,計画と実行を連動させ、継続的にフォローアップを行うことが重要である
Acsv-43_0,脱炭素化が難しい分野においても、2030年、2040年までの具体的な温室効果ガスの排出量削減目標を設定し、公表すべきである。
Acsv-44_0,電気事業者の電源構成や排出係数の公表を明確な義務にすべきである。
Acsv-45_0,高圧一括受電事業者は小売電気事業者と類似の面が強い。
Acsv-45_1,高圧一括受電事業者に対しても電源構成や排出係数の開示を明確に求めるべき。
Acsv-46_0,より持続可能で安全なエネルギー政策への修正を求めるべきである。
Acsv-47_0,安全で持続可能な未来のために明るい方向へ進むべきである
Acsv-48_0,過去の高度経済成長をもとに日本社会のあり方を考えるべきではない。
Acsv-48_1,経済成長が遅れても、多少生活が不便になったとしても、安心して生活できる社会づくりを目指すべきである。
Acsv-49_0,安心安全なエネルギー資源の開発を真剣に考えるべきです。
Acsv-50_0,国が前面に立って政策を進め、若い人たちに日本の将来を率先して担ってもらえるようにすべき
Acsv-51_0,未来ある子ども達にリスクを背負わせないために、エネルギー政策の見直しを求めるべきである。
Acsv-52_0,未来世代のためにもっとしっかりしたビジョンを持つべきである。
Acsv-53_0,日本の風土や環境を考え、何が日本にとって本当に必要なのか丁寧に考えるべきである。
Acsv-53_1,現在の日本の政策は、古来から守られてきた日本を破壊し、次世代に豊かな自然を残せなくなる危機感がある。
Acsv-53_2,もっと日本を大切にし、未来を守るべきである。
Acsv-54_0,日本は自然災害に見舞われるリスクを考慮し、そのリスクに耐え得るエネルギーを重点的に伸ばすべきである。
Acsv-54_1,技術開発の促進・向上により、取扱いやすく安全で持続可能なエネルギー供給を実現すべきである。
Acsv-55_0,第7次エネルギー基本計画の原子力発電に関する項目には能登半島地震について触れるべきである。
Acsv-55_1,能登半島地震の教訓を第7次エネルギー基本計画の中心に置くべきである。
Acsv-55_2,能登半島地震の影響を考慮しない姿勢は福島第一原発事故を再び引き起こす可能性がある。
Acsv-56_0,防災、復興の部門と関連づけた気候変動の知識普及を政策に取り入れるべき
Acsv-57_0,海外のプロジェクトへの参加を支援し、海外の事例を参考にして国内エネルギー供給の選択肢を増やすことが重要である。
Acsv-57_1,小型軽水炉は北米での関心が高く、政策をスピード感をもって進めることが産業競争力の観点で有益である。
Acsv-58_0,エネルギー危機に強い需給構造へ転換するため、特定の電源や燃料源に依存しないバランスの取れた電源構成を目指す方針に賛同。
Acsv-59_0,脱炭素電源による安定供給確保の重要性は明白である。
Acsv-59_1,エネルギー資源に乏しい我が国が再エネ、原子力、脱炭素火力など様々な選択肢を持つことはエネルギー安全保障の観点から極めて重要である。
Acsv-59_2,従来の再エネか原子力かという二項対立的視点から脱却した新たな考え方を取り入れた点は評価できる。
Acsv-60_0,エネルギー政策において、安全性を大前提とし、安定供給・経済効率性・環境適合を考慮した電源構成を考えることが重要である。
Acsv-60_1,日本では自然災害に強いインフラの構築が重要であり、安全性確保のためには物的・人的備えや監視体制へのサイバー攻撃リスクへの備えが求められる。
Acsv-60_2,再生可能エネルギーの主力電源化や原子力依存からの脱却が重視されるべきである。
Acsv-60_3,安全性を確保しつつ脱炭素化を進めることが政策の方向性であるべきである。
Acsv-61_0,持続可能な取り組みには、生物の多様性を大切にする視点を取り入れるべきである。
Acsv-62_0,自然が守られなければ、人間は生きていけない。
Acsv-62_1,陸の自然も海の自然も守り、生物多様性が担保されることが大切である。
Acsv-62_2,次の世代に原発の放射性廃棄物をこれ以上残さないことが重要である。
Acsv-62_3,自然環境を守って次の世代に手渡す方向をエネルギー基本計画に第一に掲げるべきである。
Acsv-63_0,第7次エネ基では脱炭素について言及すべきである。
Acsv-63_1,エネルギー資源の生産から廃棄にわたるプロセスを言及し、環境汚染の回避や生物多様性についても明記すべきである。
Acsv-63_2,将来世代への責任についても明記すべきである。
Acsv-64_0,過去の経験に学び、安全性を大前提とした計画を求めるべきである。
Acsv-65_0,これまでの原子力開発利用長期計画及び原子力政策大綱並びにエネルギー基本計画で示された重要な計画が実現していないことを検証すべきである。
Acsv-65_1,今次エネルギー基本計画にどのように反映されたのか明記する必要がある。
Acsv-65_2,従来の原子力長期計画のように各施策、事業の現状、進捗状況と今後の計画を分かりやすく説明する資料を添付すべきである。
Acsv-66_0,第6次エネルギー基本計画の検証と到達点を明らかにすべき
Acsv-66_1,2050年の電源構成を見直すべき
Acsv-67_0,第6次エネルギー基本計画のエネルギー転換目標の達成状況を明確に示すべきである。
Acsv-67_1,目標未達成の要因や達成成功時の効果的な要因を明確に説明することが有益である。
Acsv-68_0,このままではエネルギー分野で落ちぶれる。
Acsv-69_0,短期的なエネルギー供給や価格安定性を重視するあまり、長期的なエネルギーの持続可能性や環境負荷の低減に関する視点が不十分である。
Acsv-69_1,次世代エネルギー技術の開発への投資が他国に遅れている可能性があり、将来に向けた競争力の確保が課題である。
Acsv-70_0,自然のバランスを重視すべきである
Acsv-70_1,無駄なエネルギーの消費をなくすことが重要である
Acsv-71_0,真の「公正な」エネルギー移行のためには、鉱物資源の際限ない採掘から脱却しなければならない。
Acsv-71_1,鉱物資源開発に伴う自然・生態系の破壊や人権侵害が気候変動対策の名の下で繰り返されることがあってはならない。
Acsv-71_2,エネルギー・電力の需要抑制を最優先で進めるべきである。
Acsv-71_3,公共交通機関の利用促進やカーシェアリングによる自動車の削減に積極的に取り組むべきである。
Acsv-72_0,解決が必要な課題（核のゴミ問題、福島第一原発の廃炉、福島の復興など）に優先順位をおくべきである。
Acsv-72_1,核燃料サイクルは破綻しており、新型原子炉の研究開発は優先順位が低い。
Acsv-72_2,新型原子炉の研究開発に取り組んでも気候変動対策には間に合わない。
Acsv-73_0,エネルギーを生み出す装置は、既存のものを活用すべきである。
Acsv-73_1,税金は本当に必要な所へ利用するべきである。
Acsv-74_0,電力流通システム全体において、環境性やコストだけでなく、セキュリティの観点も重要である。
Acsv-74_1,エネルギーセキュリティ確保に関わる方針的な施策については、国レベルでのリーダーシップ発揮が期待される。
Acsv-75_0,脱炭素化を進めるためには自然エネルギーの導入促進が重要である。
Acsv-75_1,実現可能かどうかもわからない技術に税金を投入するのではなく、自宅でのパネル設置に補助する方が実効性がある。
Acsv-76_0,コスト効率や経済性が実現していない技術への依存を低減すべき
Acsv-77_0,再エネ、省エネ技術の普及に一層力を注ぐべきである。
Acsv-77_1,地方環境パートナーシップオフィスに専門アドバイザーを配置し、ポータルサイトを充実させることが効果的である。
Acsv-77_2,脱炭素の取り組みを行いたい事業者や市民が適切な情報にアクセスできる仕組みを全国的に整えるべきである。
Acsv-77_3,地域の金融機関や脱炭素化支援機構と連携したファイナンスの仕組みを整備すれば、導入が進みやすい。
Acsv-78_0,CCUSや水素・アンモニア混焼による脱炭素化の必要性はない。
Acsv-78_1,再生可能エネルギーの導入を遅らせることは許されない。
Acsv-78_2,輸出支援についても再生可能エネルギーの導入を妨げるべきではない。
Acsv-79_0,エネルギー、食糧自給率100%を目指すことが地域経済の活性化につながるよう計画を立てるべきである。
Acsv-79_1,2050年に再エネ100%を目指し、2040年を移行途中期間としての目標を設定すべきである。
Acsv-80_0,日本の食料自給率の低さを懸念すべきである。
Acsv-80_1,強い農業を実現する視点に立つべきである。
Acsv-81_0,日本はエネルギーも食料も自立するべきである。
Acsv-82_0,日本の食料自給率の低さを懸念し、強い農業を実現する必要がある。
Acsv-82_1,日本国民は飢える危機がある。
Acsv-83_0,再エネの導入は「3E+S」の実現に寄与するべきである。
Acsv-83_1,再エネの導入は地域活性化や雇用創出にも寄与する。
Acsv-84_0,日本の財政や経済が逼迫しているため、経済合理性を重視したエネルギー政策に大きく舵を切るべきである。
Acsv-84_1,再エネ極振りは現実的でなく、製造業等に著しく競争力を削ぐことになる。
Acsv-85_0,欧州の「パーセントベース削減政策」に迎合したGXで検討を始めている限り、我国の成長は困難である。
Acsv-85_1,脱炭素政策ありきではなく、我国の成長のために必要な経済的に望ましいエネルギー政策を真剣に説明すべきである。
Acsv-86_0,十分な脱炭素電源が確保できなかったため、データセンターや半導体工場への投資機会が失われることは避けるべきである。
Acsv-86_1,経済成長や産業競争力強化のために、原子力発電による不安を抱え込む必要があるのか疑問である。
Acsv-86_2,国そのものが失われることの方が、経済成長や産業競争力強化よりも厳に避けるべきである。
Acsv-87_0,エネルギー基本計画策定にあたっては、地球温暖化防止や環境保護を優先すべきである。
Acsv-88_0,日本の脱炭素政策が軌道に乗るまでは、ＤＸやＧＸの進展による電力需要を遅らせるために規制を強めるべきである。
Acsv-89_0,限界コストが相対的に高い対策にも取り組む必要があるため、経済合理性も考慮しつつ取り組んでいく。
Acsv-89_1,GHG排出削減に当たり限界削減費用に基づいた経済合理性のみを考慮すると、現状の設備を使用した改善的な施策になりやすく、長期的便益を見通した投資や、抜本的な経済社会の変革を阻害する恐れがある。
Acsv-90_0,安全性を大前提に、エネルギー安定供給を第一として、経済効率性の向上と環境への適合を図る「S＋３Eの原則」が我が国のエネルギー政策の要諦であるとの考え方に賛同する。
Acsv-91_0,安定的なエネルギー供給は国民生活や経済活動の礎である。
Acsv-91_1,エネルギー資源に乏しい我が国においては、「Ｓ＋３Ｅ」の基本原則を堅持することが重要である。
Acsv-92_0,我が国は地理的制約を抱えているため、安全性を確保しつつエネルギー政策においてエネルギー安定供給、経済効率性、環境適合性の最適なバランスを追求すべきである。
Acsv-94_0,日本においてエネルギー安定供給・経済成長・脱炭素のバランスをとりつつ施策を進めることは非常に困難である。
Acsv-94_1,第６次エネルギー基本計画に基づく政府のS+3Eの観点でのエネルギー施策によって、日本のエネルギー環境は堅実かつ着実な成長を遂げている。
Acsv-94_2,電力システムの進むべき方向性として、自由化の進展による電気料金上昇の抑制、需要家の選択肢の拡大、事業者へのビジネスチャンスの創出が重要である。
Acsv-95_0,外国資本をエネルギー開発に入れるのは国益に反するため、厳に慎むべきである。
Acsv-96_0,外国資本をエネルギー開発に入れることは国益に反するため、慎むべきである。
Acsv-97_0,山中でのソーラーパネルや風車の建設は外資に国土を売り渡す行為である。
Acsv-97_1,山中でのソーラーパネルや風車の建設は補助金で外資を儲けさせる売国行為である。
Acsv-98_0,エネルギー政策において、サプライチェーンの人権問題や発電所立地地域へのリスク、気候正義を評価基準に加えるべきである。
Acsv-98_1,エネルギー政策は、将来世代やグローバルサウスの生存権を考慮する必要がある。
Acsv-99_0,「将来世代への責任」という観点をS+3Eに加えるべきである。
Acsv-99_1,将来世代への責任は安全性と同じくらい重要な観点である。
Acsv-100_0,「S+4E」に「Equity & Justice（公平・公正）」を加えて切り替えるべき
Acsv-101_0,気候変動や政策の将来世代への影響という世代間の衡平性の観点を取り入れるべきである。
Acsv-101_1,低所得者のエネルギー貧困といった公正（Equity）の視点を取り入れるべきである。
Acsv-102_0,日本は再生可能エネルギーを積極的に拡大することで、CO2排出のないクリーンな電力を供給できる
Acsv-102_1,再生可能エネルギーの拡大により、日本のエネルギー自給率を向上させることが可能である
Acsv-103_0,日本の再エネポテンシャル2.5兆kWh/年を活用し、エネルギーのカーボンフリー化を図るべきである。
Acsv-103_1,エネルギーの自給率向上により化石燃料輸入費約30兆円の日本国富流失を止めるべきである。
Acsv-103_2,変動性のある再エネの主力電源化を実現するために、蓄電の充実を図るべきである。
Acsv-104_0,化石燃料を毎年数十兆円かけて輸入するのではなく、省エネや再エネに投資すべき
Acsv-104_1,エネルギー自給率を高めるために省エネや再エネに投資することが重要である
Acsv-105_0,エネルギー安定供給と脱炭素の両立を目指している点は評価できる
Acsv-106_0,鉄鋼業においてカーボンニュートラルを実現するためには大型電炉化を進めるべきである。
Acsv-106_1,電炉事業所は高炉事業所に比べて約20倍の系統電力が必要であり、電力の安定供給がなければ新たな電炉の建設は難しい。
Acsv-106_2,国は革新的電炉を推進するのであれば、電力の安定供給に向けて原子力発電の活用を含む政策を積極的に発信すべきである。
Acsv-107_0,エネルギー政策は安価安定供給を最優先とすべき
Acsv-107_1,エネルギー政策はエネルギー安全保障を最優先とすべき
Acsv-108_0,LNGの安定供給に向けて、LNG安定調達の度合いを測定・評価する指標を設定し、政策支援につなげることに賛同する。
Acsv-108_1,LNGの調達構造や在庫水準・需給状況は機微に触れる情報であり、安易に公開されると交渉に影響を及ぼすため、情報の取り扱いや公表については慎重な対応が必要である。
Acsv-109_0,化石燃料への依存を軽減しようとする姿勢は現実的である
Acsv-109_1,化石燃料への依存を軽減することは日本のエネルギー安全保障の強化につながる
Acsv-110_0,エネルギー政策推進に際しては柔軟性を確保すべき
Acsv-110_1,エネルギー政策と産業政策の方向性が乖離しないようにすべき
Acsv-110_2,米国のパリ協定離脱が国際的な影響を及ぼすため、十分に分析し対応すべき
Acsv-111_0,米国がパリ協定の離脱を表明したことは、国際的な影響を及ぼす大きな情勢の変化である。
Acsv-111_1,この情勢の変化が我が国の政策に及ぼす影響について十分に分析し、対応すべきである。
Acsv-112_0,米国のパリ協定離脱がわが国のエネルギー政策に及ぼす影響を十分に分析すべき
Acsv-112_1,エネルギー政策の確実な実施をお願いしたい
Acsv-113_0,米国新政権のエネルギー政策方針や地政学的動向を踏まえたエネルギー政策の検討・実行が必要である。
Acsv-113_1,総合的な国益および日本国民全体の利益を考慮したエネルギー政策を行うべきである。
Acsv-114_0,エネルギーの安定供給は日本の経済成長に必要不可欠である。
Acsv-115_0,将来的に電力需要が増加する可能性を正面から認めるべきである。
Acsv-115_1,電力供給を確保する必要性を論じることは評価される。
Acsv-116_0,DXの推進に伴い電力需要が増大することは自明である。
Acsv-116_1,少子高齢化に伴い生産性向上が必要であり、官民あげてDXの推進に取り組む必要がある。
Acsv-116_2,人口減少に伴う内需の減少を考慮すると、給料の上昇を実現するためにも生産性向上が不可欠であり、DXの推進が必須である。
Acsv-116_3,国民の豊かさ実現のためには電力需要の増加が必要である。
Acsv-117_0,融資枠の制約からファイナンスを提供できない状況が存在する可能性があるため、早期に是正すべきである。
Acsv-117_1,金融庁など関係省庁と連携し、速やかに対処すべきである。
Acsv-118_0,気候変動対策は国際的な責務に関係する重要な政策である。
Acsv-118_1,環境省をはじめとする関係省庁が参画した会議体で議論すべきである。
Acsv-119_0,地元自治体や様々な主体と広く連携しながら、オールジャパンで進めていくべきである。
Acsv-120_0,地方自治体でのノウハウ共有には、学ぶ側と教える側の双方に相応の費用が必要である。
Acsv-120_1,ノウハウ共有のために宿泊施設の整備が必要になる場合がある。
Acsv-120_2,国がノウハウ共有を支援できる場面があると思われる。
Acsv-121_0,温室効果ガス削減とグリーン商品の販売が一体となって進むよう、政府の支援を要望する。
Acsv-122_0,将来の日本および世界の為に、国・電力業者・国民がそれぞれ自分達が出来ることをしっかりやる必要がある。
Acsv-123_0,GX関連技術をビジネスにするには、経済合理性とともに技術を社会実装させることが必要である。
Acsv-123_1,企業単独での投資や研究開発には限界があるため、他事業者・他業種との共同開発や知見・成果の共有が重要である。
Acsv-123_2,企業間・地域内での連携やサプライチェーン構築を促すことの重要性について本計画案に記載すべきである。
Acsv-124_0,計画案は科学的根拠に基づいていないべきではない。
Acsv-125_0,科学的根拠に基づくエネルギーの定量分析をしっかり進めるべき
Acsv-126_0,2050年に向けた線形的な削減経路は、IPCCのネットゼロ達成に向けた推奨事項と整合性が取れている必要がある。
Acsv-126_1,排出削減目標を国際的な約束や科学的推奨事項と整合させることが不可欠である。
Acsv-127_0,民主的で透明なプロセスによる国民的議論を行うべきである。
Acsv-128_0,意思決定過程の見直しが必要である。
Acsv-128_1,審議会の人選をフェアに見直すべきである。
Acsv-128_2,推進派や利害関係者が多数を占める中での議論は偏っている。
Acsv-128_3,国民投票や倫理的観点の議論が必要である。
Acsv-128_4,開かれた場での公正な国民的議論が必要である。
Acsv-129_0,多様な視点の意見を積極的に聞く機会を設けるべきである。
Acsv-129_1,国民の意見を政策に反映させる場を作るべきである。
Acsv-129_2,意見箱の意見がどのように反映されたのか実感できないため、国民の意見の反映が不十分である。
Acsv-129_3,政策決定プロセスの透明化と公平性の担保を求める。
Acsv-130_0,市民がエネルギー政策の決定プロセスに参加する機会がほとんどないのは問題である。
Acsv-130_1,エネルギー政策に関する議論は、もっと民主的かつ透明性の高い形で行われるべきである。
Acsv-130_2,エネルギー政策の内容を分かりやすくし、時間をかけて議論する必要がある。
Acsv-131_0,エネルギー基本計画は内閣による閣議決定ではなく、国会で審議すべきである。
Acsv-131_1,エネルギー基本計画は気候変動対策として明確に位置づけ、国会で審議すべきである。
Acsv-132_0,日本のエネルギー政策や気候変動対策の重要性を考えると、国民的議論が必要であるべき。
Acsv-132_1,短期間の議論で閣議決定される政策形成のプロセスは民主主義国家として問題である。
Acsv-133_0,エネルギー基本計画が国会に諮られないことは問題である
Acsv-134_0,市民の意見を反映させる場は短い期間のパブコメに限られているべきではない
Acsv-134_1,審議される論点や議論内容を国民に分かりやすく、時間をかけて丁寧に議論するべき
Acsv-134_2,もっと民主的で透明性の高い議論が行われるべき
Acsv-135_0,国民不在の気候・エネルギー政策形成プロセスは問題であり、国民生活に大きな影響を与える。
Acsv-135_1,経産省主導による一部の産業の利益を優先する政策が、国民不在の中で短期間の議論で決定されることは民主主義国家として問題である。
Acsv-136_0,パブコメの周知が足りない。
Acsv-136_1,テレビの政府広報や若い人が見ているSNSで広報すべきである。
Acsv-136_2,意見募集期間を1ヶ月ほど延長するべきである。
Acsv-137_0,パブコメ募集期間が短すぎる。
Acsv-137_1,膨大な計画案を検討するには時間がかかるので、もっと期間をとるべきである。
Acsv-138_0,市民の意見を反映させる場は短い期間のパブコメに限られているのは問題である。
Acsv-138_1,あらゆる国民が影響を受けるエネルギーの在り方や気候変動対策について、より多くの意見を反映させる必要がある。
Acsv-139_0,会議の進め方は意見の表明に過ぎず、まともな議論になっていない。
Acsv-140_0,パブリックコメント終了後に寄せられた意見をもとに、総合エネルギー調査会「基本政策分科会」を開催し、計画の表現の見直しを議論すべきである。
Acsv-140_1,国民から寄せられた意見を尊重するのであれば、審議会で議論することは必須である。
Acsv-141_0,多様性ある委員構成や透明性・公平性に配慮した政策決定プロセスを求めるべき
Acsv-141_1,パブリックコメント実施後に改めて審議会を開催し、議論がなされることを期待する
Acsv-142_0,現状の審議会は、政府案ありきのプロセスになっており、パブコメを集約したうえで再度審議会で審議した方が良い。これは政府に対する信頼を得るためにもやった方が良い。
Acsv-142_1,省庁は、省益を優先せず、地球益を優先するべきである。その方が日本のプレゼンスを高めることになり、結果として国益にかなう。
Acsv-143_0,パブコメ終了後に、パブコメの意見を審議材料として基本計画の審議を続けるべき
Acsv-144_0,審議会の構成メンバーの年齢や性別の偏りを是正すべきである。
Acsv-144_1,議論には女性や若者、多様な立場の専門家、環境団体が多数参加することが不可欠である。
Acsv-145_0,政策の透明性を確保するため、審議会委員の選定基準や運営スケジュール等の開示を明記すべきである。
Acsv-146_0,「エネルギー基本計画」や「温暖化対策計画案」の審議会のメンバーには原発推進や化石燃料維持を支持する委員が多数派であることが問題である。
Acsv-146_1,審議会の委員に男性や50代以上が多く、女性や若者が少ないという偏りが問題である。
Acsv-146_2,気候変動の影響を受ける若者の意見や多様な立場の専門家、環境団体を策定プロセスに加える必要がある。
Acsv-147_0,意見聴取会を実施し、世論調査を行ったうえで、原発に批判的なメンバーを相当数入れた審議会で第７次エネルギー基本計画案を作成し直すべき
Acsv-147_1,作成した計画案をパブリックコメントにかけるべき
Acsv-148_0,エネ基の審議会のメンバー構成は化石燃料や原子力、産業界につながりのある委員が多数を占めている。
Acsv-148_1,気候変動、再エネ、自治体や地域、原発事故関係者、環境NGO、若い世代を含めるべきである。
Acsv-149_0,気候市民会議など、若者等の様々な立場にある国民の価値観が反映される意思決定プロセスを構築すべきである。
Acsv-150_0,幅広い世代・立場の意見を反映できる政策決定プロセスの構築に向けた抜本的な検討を政府に求めるべきである。
Acsv-150_1,気候変動が悪化した場合の経済的損失や適切な対策が行われた場合に得られる便益を踏まえた上で、排出削減目標の引き上げや脱炭素化加速のために必要な施策を議論すべきである。
Acsv-150_2,電力需要家企業の再エネを求める声を含めて、バックグラウンドの異なる関係者で業種横断的に議論する必要がある。
Acsv-151_0,脱炭素社会の構築には消費者・生活者による消費行動やライフスタイルの転換が欠かせない
